Kreis; Gemeindeschluessel; Gemeindename; Gemarkungsschluessel; Gemarkungsname; Aktualitaet
Erzgebirgskreis; 14521010; Amtsberg; 2113; Dittersdorf; aktuell
Erzgebirgskreis; 14521010; Amtsberg; 8818; Schlößchen; aktuell
Erzgebirgskreis; 14521010; Amtsberg; 8824; Weißbach; aktuell
Erzgebirgskreis; 14521040; Auerbach; 7601; Auerbach; aktuell
Erzgebirgskreis; 14521050; Bad Schlema; 1219; Niederschlema; aktuell
Erzgebirgskreis; 14521050; Bad Schlema; 1220; Oberschlema; aktuell
Erzgebirgskreis; 14521050; Bad Schlema; 1227; Wildbach; aktuell
Erzgebirgskreis; 14521060; Bärenstein; 1105; Bärenstein; aktuell
Erzgebirgskreis; 14521060; Bärenstein; 1106; Stahlberg; aktuell
Erzgebirgskreis; 14521080; Bockau; 1209; Bockau; aktuell
Erzgebirgskreis; 14521090; Börnichen/Erzgeb.; 8801; Börnichen; aktuell
Erzgebirgskreis; 14521110; Breitenbrunn/Erzgeb.; 7401; Antonsthal; aktuell
Erzgebirgskreis; 14521110; Breitenbrunn/Erzgeb.; 7404; Breitenbrunn; aktuell
Erzgebirgskreis; 14521110; Breitenbrunn/Erzgeb.; 7406; Erlabrunn; aktuell
Erzgebirgskreis; 14521110; Breitenbrunn/Erzgeb.; 7417; Rittersgrün; aktuell
Erzgebirgskreis; 14521110; Breitenbrunn/Erzgeb.; 7421; Tellerhäuser; aktuell
Erzgebirgskreis; 14521120; Burkhardtsdorf; 2109; Burkhardtsdorf; aktuell
Erzgebirgskreis; 14521120; Burkhardtsdorf; 2121; Kemtau; aktuell
Erzgebirgskreis; 14521120; Burkhardtsdorf; 2122; Eibenberg; aktuell
Erzgebirgskreis; 14521120; Burkhardtsdorf; 7617; Meinersdorf; aktuell
Erzgebirgskreis; 14521130; Crottendorf; 1108; Crottendorf; aktuell
Erzgebirgskreis; 14521130; Crottendorf; 1136; Walthersdorf; aktuell
Erzgebirgskreis; 14521140; Deutschneudorf; 5805; Deutscheinsiedel; aktuell
Erzgebirgskreis; 14521140; Deutschneudorf; 5806; Brüderwiese; aktuell
Erzgebirgskreis; 14521140; Deutschneudorf; 5807; Deutschneudorf; aktuell
Erzgebirgskreis; 14521140; Deutschneudorf; 5808; Oberlochmühle; aktuell
Erzgebirgskreis; 14521150; Drebach; 8802; Drebach; aktuell
Erzgebirgskreis; 14521150; Drebach; 8808; Grießbach; aktuell
Erzgebirgskreis; 14521150; Drebach; 8817; Scharfenstein; aktuell
Erzgebirgskreis; 14521150; Drebach; 8822; Venusberg; aktuell
Erzgebirgskreis; 14521200; Gelenau/Erzgeb.; 8806; Gelenau; aktuell
Erzgebirgskreis; 14521220; Gornau/Erzgeb.; 3507; Dittmannsdorf; aktuell
Erzgebirgskreis; 14521220; Gornau/Erzgeb.; 8807; Gornau; aktuell
Erzgebirgskreis; 14521220; Gornau/Erzgeb.; 8825; Witzschdorf; aktuell
Erzgebirgskreis; 14521230; Gornsdorf; 7608; Gornsdorf; aktuell
